Name,Price,Old Price,Discount,Rating,Number of Reviews,Search Ranking
"Tecno SPARK 20,6.6 HD+,90GHZ REFRESH RATE,50MP,UPTO 8GB RAM,128GB ROM,DUAL SPEAKERS+WSP","KSh 15,299","KSh 20,000",24%,4 out of 5,4 out of 5(65),"Page 3, Rank 34"
"Tecno POP 8, 6.6"", 64GB +3GB RAM, 13MP, 4G (Dual SIM) 5000MAh - Gravity Black (1YR WRTY)","KSh 12,000",,,3.5 out of 5,3.5 out of 5(2),"Page 3, Rank 35"
"Itel A18 5.0"", 32GB + 1GB RAM, 2400mAh - Lime green","KSh 7,000",,,3.8 out of 5,3.8 out of 5(11),"Page 3, Rank 36"
"XIAOMI Redmi Note 13, 6.67"", 256GB + 8GB RAM, 108MP, (Dual SIM), 5000mAh, Black (2YRS WRTY)","KSh 23,450","KSh 30,000",22%,4 out of 5,4 out of 5(61),"Page 3, Rank 37"
"Infinix Hot 40i, 6.78""HD , 128GB ROM + 4GB RAM (Dual SIM), 50MP, 5000mAh - Horizon Gold.","KSh 12,545","KSh 23,999",48%,4.1 out of 5,4.1 out of 5(72),"Page 3, Rank 38"
"Itel S23+ 6.78"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Elemental Blue","KSh 23,000",,,4.8 out of 5,4.8 out of 5(9),"Page 3, Rank 39"
"Tecno POP 8, 6.6"", 64GB ROM +3GB RAM, 13MP, 4G (Dual SIM) 5000MAh - Mystery White (1YR WRTY)","KSh 9,999","KSh 12,000",17%,,,"Page 3, Rank 40"
"XIAOMI Redmi A3, 6.71"", 3GB RAM + 64GB (Dual SIM), 5000mAh, Midnight Black  (2 YRs WRTY)","KSh 11,000",,,4.1 out of 5,4.1 out of 5(220),"Page 4, Rank 1"
"Tecno Spark 20, Android 13, 6.6"", 128GB + 4GB RAM(4GB Extended), 50MP, 5000mAh, Gravity Black(1YR WRTY)","KSh 12,925","KSh 15,000",14%,4.4 out of 5,4.4 out of 5(135),"Page 4, Rank 2"
"Itel S23 6.6"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Mystery White (1YR WRTY)","KSh 10,000",,,4.2 out of 5,4.2 out of 5(151),"Page 4, Rank 3"
"Samsung Galaxy A05, 6.7'' 4GB RAM + 128GB ROM (Dual Sim) 50MP Camera, 5000mAh, Black","KSh 14,000",,,4.5 out of 5,4.5 out of 5(29),"Page 4, Rank 4"
"Itel S23 6.6"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Starry Black","KSh 10,000",,,4.3 out of 5,4.3 out of 5(249),"Page 4, Rank 5"
